agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,BEST/Site Safety,0,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,1,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,2,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,3,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,4,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,5,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,6,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,7,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,8,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,9,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,10,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,12,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,15,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,31,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,48,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,0,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,1,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,2,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,3,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,4,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,5,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,6,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,7,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,8,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,9,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,10,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,12,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,15,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,19,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,28,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,68,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,0,32,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,1,180,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,2,126,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,3,78,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,4,67,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,5,50,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,6,44,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,7,47,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,8,33,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,9,32,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,10,18,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,11,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,12,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,13,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,14,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,15,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,17,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,18,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,19,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,20,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,22,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,23,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,24,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,25,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,26,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,30,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,31,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,32,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,33,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,34,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,35,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,36,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,44,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,46,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,47,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,48,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,50,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,51,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,52,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,53,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,54,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,55,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,56,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,57,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,58,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,59,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,60,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,61,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,62,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,63,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,64,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,65,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,66,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,67,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,68,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,69,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,70,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,71,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,72,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,73,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,75,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,76,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,77,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Building/Use,78,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,0,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,1,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,2,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,4,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,6,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,9,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,10,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Cranes and Derricks,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,0,58,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,1,62,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,2,34,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,3,23,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,4,15,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,5,14,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,6,37,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,7,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,8,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,9,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,10,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,11,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,12,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,13,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,14,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,17,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,19,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,20,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,21,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,27,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,28,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Electrical,43,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,0,58,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,1,71,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,2,46,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,3,60,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,4,53,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,5,54,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,6,55,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,7,39,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,8,30,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,9,31,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,10,14,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,11,16,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,12,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,13,15,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,14,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,15,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,16,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,17,10,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,18,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,19,14,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,20,10,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,21,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,22,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,23,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,24,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,25,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,26,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,27,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,28,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,29,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,30,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,31,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,32,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,33,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,34,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,35,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,36,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,37,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,39,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,40,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,43,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,44,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,46,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Elevator,47,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),0,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),1,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),2,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),4,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),5,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),7,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),8,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Emergency Response Team (ERT),9,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,0,463,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,1,617,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,2,246,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,3,132,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,4,105,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,5,64,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,6,52,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,7,53,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,8,53,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,9,30,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,10,20,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,11,23,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,12,19,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,13,15,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,14,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,15,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,16,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,17,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,18,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,19,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,20,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,21,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,22,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,23,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,24,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,25,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,26,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,27,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,28,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,29,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,30,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,33,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,34,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,35,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,36,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,37,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,38,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,39,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,40,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,43,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,45,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,46,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,47,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,48,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,49,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,50,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,51,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,52,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,53,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,54,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,55,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,56,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,58,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,59,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,61,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,63,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,64,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,66,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,68,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,70,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,72,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,73,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,76,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,78,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),0,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),1,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),3,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),4,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),5,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),6,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),7,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),9,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),13,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),15,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),19,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),28,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),36,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Miscellaneous Categories,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,0,72,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,1,60,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,2,30,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,3,21,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,4,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,5,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,6,25,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,7,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,8,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,9,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,10,24,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,11,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,12,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,13,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,14,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,15,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,16,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,17,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,18,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,20,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,21,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,22,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,23,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,24,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,25,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,26,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,27,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,28,2,12,2017-05-29T22:38:45.331470
