,agency,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
0,NYPD,Panhandling,0.0,60,4,2017-07-23T20:58:53.590647
1,NYPD,Derelict Vehicle,11.0,8,4,2017-07-23T20:58:53.590647
2,NYPD,Drug Activity,1.0,25,4,2017-07-23T20:58:53.590647
3,NYPD,Noise - Residential,1.0,4249,4,2017-07-23T20:58:53.590647
4,NYPD,Non-Emergency Police Matter,2.0,2,4,2017-07-23T20:58:53.590647
5,NYPD,Derelict Vehicle,8.0,4,4,2017-07-23T20:58:53.590647
6,NYPD,Non-Emergency Police Matter,0.0,635,4,2017-07-23T20:58:53.590647
7,NYPD,Noise - Street/Sidewalk,4.0,80,4,2017-07-23T20:58:53.590647
8,NYPD,Noise - Vehicle,0.0,2012,4,2017-07-23T20:58:53.590647
9,NYPD,Noise - Vehicle,2.0,24,4,2017-07-23T20:58:53.590647
10,NYPD,Noise - Residential,4.0,48,4,2017-07-23T20:58:53.590647
11,NYPD,Derelict Vehicle,5.0,16,4,2017-07-23T20:58:53.590647
12,NYPD,Noise - Commercial,5.0,5,4,2017-07-23T20:58:53.590647
13,NYPD,Urinating in Public,1.0,3,4,2017-07-23T20:58:53.590647
14,NYPD,Noise - Street/Sidewalk,1.0,2211,4,2017-07-23T20:58:53.590647
15,NYPD,Traffic,0.0,328,4,2017-07-23T20:58:53.590647
16,NYPD,Blocked Driveway,5.0,1,4,2017-07-23T20:58:53.590647
17,NYPD,Drinking,0.0,129,4,2017-07-23T20:58:53.590647
18,NYPD,Noise - House of Worship,0.0,53,4,2017-07-23T20:58:53.590647
19,NYPD,Drinking,2.0,1,4,2017-07-23T20:58:53.590647
20,NYPD,Illegal Parking,4.0,14,4,2017-07-23T20:58:53.590647
21,NYPD,Illegal Parking,1.0,2007,4,2017-07-23T20:58:53.590647
22,NYPD,Animal Abuse,3.0,1,4,2017-07-23T20:58:53.590647
23,NYPD,Derelict Vehicle,0.0,2110,4,2017-07-23T20:58:53.590647
24,NYPD,Blocked Driveway,2.0,51,4,2017-07-23T20:58:53.590647
25,NYPD,Noise - Commercial,0.0,2366,4,2017-07-23T20:58:53.590647
26,NYPD,Posting Advertisement,1.0,1,4,2017-07-23T20:58:53.590647
27,NYPD,Derelict Vehicle,2.0,89,4,2017-07-23T20:58:53.590647
28,NYPD,Blocked Driveway,0.0,6804,4,2017-07-23T20:58:53.590647
29,NYPD,Noise - Commercial,2.0,6,4,2017-07-23T20:58:53.590647
30,NYPD,Illegal Parking,3.0,7,4,2017-07-23T20:58:53.590647
31,NYPD,Animal Abuse,1.0,123,4,2017-07-23T20:58:53.590647
32,NYPD,Noise - Vehicle,5.0,5,4,2017-07-23T20:58:53.590647
33,NYPD,Noise - Park,0.0,516,4,2017-07-23T20:58:53.590647
34,NYPD,Homeless Encampment,0.0,447,4,2017-07-23T20:58:53.590647
35,NYPD,Graffiti,0.0,5,4,2017-07-23T20:58:53.590647
36,NYPD,Noise - Park,2.0,12,4,2017-07-23T20:58:53.590647
37,NYPD,Homeless Encampment,2.0,2,4,2017-07-23T20:58:53.590647
38,NYPD,Disorderly Youth,0.0,8,4,2017-07-23T20:58:53.590647
39,NYPD,Illegal Parking,6.0,2,4,2017-07-23T20:58:53.590647
40,NYPD,Bike/Roller/Skate Chronic,1.0,5,4,2017-07-23T20:58:53.590647
41,NYPD,Noise - Street/Sidewalk,3.0,48,4,2017-07-23T20:58:53.590647
42,NYPD,Noise - Residential,3.0,44,4,2017-07-23T20:58:53.590647
43,NYPD,Vending,1.0,50,4,2017-07-23T20:58:53.590647
44,NYPD,Noise - Vehicle,1.0,674,4,2017-07-23T20:58:53.590647
45,NYPD,Noise - Residential,2.0,90,4,2017-07-23T20:58:53.590647
46,NYPD,Non-Emergency Police Matter,1.0,115,4,2017-07-23T20:58:53.590647
47,NYPD,Panhandling,1.0,8,4,2017-07-23T20:58:53.590647
48,NYPD,Noise - Residential,0.0,11583,4,2017-07-23T20:58:53.590647
49,NYPD,Drug Activity,0.0,122,4,2017-07-23T20:58:53.590647
50,NYPD,Derelict Vehicle,7.0,1,4,2017-07-23T20:58:53.590647
51,NYPD,Urinating in Public,0.0,48,4,2017-07-23T20:58:53.590647
52,NYPD,Traffic,1.0,20,4,2017-07-23T20:58:53.590647
53,NYPD,Noise - Street/Sidewalk,0.0,5714,4,2017-07-23T20:58:53.590647
54,NYPD,Noise - Vehicle,4.0,29,4,2017-07-23T20:58:53.590647
55,NYPD,Noise - Street/Sidewalk,2.0,57,4,2017-07-23T20:58:53.590647
56,NYPD,Derelict Vehicle,6.0,6,4,2017-07-23T20:58:53.590647
57,NYPD,Drinking,1.0,28,4,2017-07-23T20:58:53.590647
58,NYPD,Noise - Park,3.0,3,4,2017-07-23T20:58:53.590647
59,NYPD,Noise - House of Worship,1.0,20,4,2017-07-23T20:58:53.590647
60,NYPD,Vending,5.0,1,4,2017-07-23T20:58:53.590647
61,NYPD,Illegal Parking,2.0,78,4,2017-07-23T20:58:53.590647
62,NYPD,Noise - House of Worship,4.0,1,4,2017-07-23T20:58:53.590647
63,NYPD,Illegal Parking,0.0,8242,4,2017-07-23T20:58:53.590647
64,NYPD,Derelict Vehicle,12.0,2,4,2017-07-23T20:58:53.590647
65,NYPD,Blocked Driveway,3.0,4,4,2017-07-23T20:58:53.590647
66,NYPD,Derelict Vehicle,3.0,29,4,2017-07-23T20:58:53.590647
67,NYPD,Noise - Commercial,3.0,6,4,2017-07-23T20:58:53.590647
68,NYPD,Animal Abuse,0.0,610,4,2017-07-23T20:58:53.590647
69,NYPD,Noise - Park,4.0,3,4,2017-07-23T20:58:53.590647
70,NYPD,Animal Abuse,2.0,4,4,2017-07-23T20:58:53.590647
71,NYPD,Disorderly Youth,4.0,1,4,2017-07-23T20:58:53.590647
72,NYPD,Noise - Street/Sidewalk,5.0,21,4,2017-07-23T20:58:53.590647
73,NYPD,Blocked Driveway,1.0,1928,4,2017-07-23T20:58:53.590647
74,NYPD,Derelict Vehicle,1.0,678,4,2017-07-23T20:58:53.590647
75,NYPD,Posting Advertisement,0.0,12,4,2017-07-23T20:58:53.590647
76,NYPD,Noise - Commercial,1.0,730,4,2017-07-23T20:58:53.590647
77,NYPD,Graffiti,1.0,1,4,2017-07-23T20:58:53.590647
78,NYPD,Disorderly Youth,1.0,6,4,2017-07-23T20:58:53.590647
79,NYPD,Drinking,3.0,1,4,2017-07-23T20:58:53.590647
80,NYPD,Noise - Residential,5.0,14,4,2017-07-23T20:58:53.590647
81,NYPD,Homeless Encampment,1.0,50,4,2017-07-23T20:58:53.590647
82,NYPD,Noise - Park,1.0,162,4,2017-07-23T20:58:53.590647
83,NYPD,Derelict Vehicle,4.0,15,4,2017-07-23T20:58:53.590647
84,NYPD,Noise - Commercial,4.0,12,4,2017-07-23T20:58:53.590647
85,NYPD,Illegal Fireworks,0.0,11,4,2017-07-23T20:58:53.590647
86,NYPD,Blocked Driveway,4.0,3,4,2017-07-23T20:58:53.590647
87,NYPD,Bike/Roller/Skate Chronic,0.0,35,4,2017-07-23T20:58:53.590647
88,NYPD,Illegal Parking,5.0,5,4,2017-07-23T20:58:53.590647
89,NYPD,Derelict Vehicle,10.0,1,4,2017-07-23T20:58:53.590647
90,NYPD,Vending,0.0,582,4,2017-07-23T20:58:53.590647
91,NYPD,Illegal Parking,11.0,2,4,2017-07-23T20:58:53.590647
92,NYPD,Noise - Vehicle,3.0,19,4,2017-07-23T20:58:53.590647
93,NYPD,Non-Emergency Police Matter,3.0,1,4,2017-07-23T20:58:53.590647
